# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.8996644953846753,4.430275681897071,-0.40280688629863626,0,3.0,-1.237664169195126,0.0,0.0,0.0
 0.08890820556119401,1.911521205892615,4.430192324215791,-0.40280688629863626,0.26672461668358205,3.0,-1.237664169195126,0.0,-23.029523710143565,0.0
 0.12498370525795838,1.9230929096094498,4.429943140804073,-1.233608461920548,0.3749511157738752,3.0000000000000013,-1.3201695440377845,0.0,-31.831413115937757,0.0
 0.1521578607103095,1.9343819648247036,4.4295294661100995,-2.0986002302010496,0.45647358213092865,3.000000000000002,-1.4087462292641488,0.0,-40.056996364939785,0.0
 0.17464609694553684,1.9453907298279005,4.428952634582056,-2.999411427329458,0.5239382908366106,2.9999999999999973,-1.5038066654591178,0.0,-48.25026610701124,0.0
 0.19409295766612455,1.9561215629085644,4.428213980668124,-3.9377276320437993,0.5822788729983737,2.9999999999999973,-1.6057734990621062,0.0,-56.65349127875693,0.0
 0.21134799927827516,1.966576822356219,4.42731483881649,-4.915285981532362,0.6340439978348255,2.9999999999999982,-1.715074432512004,0.0,-65.41220541530237,0.0
 0.2269197505787776,1.9767588664603881,4.426256543475334,-5.93386857627683,0.6807592517363328,2.9999999999999982,-1.8321354137612873,0.0,-74.62999957130273,0.0
 0.2411422504995322,1.986670053510596,4.425040429092841,-6.995293739265597,0.7234267514985966,3.000000000000004,-1.9573718549062684,0.0,-84.38878659853465,0.0
 0.25424957276977517,1.9963127417963662,4.423667830117195,-8.101404761207352,0.7627487183093256,3.0000000000000044,-2.091177545195961,0.0,-94.75751689901115,0.0
 0.2664137894800253,2.0056892896072225,4.422140080996581,-9.254055731692114,0.799241368440076,3.0,-2.233910920627209,0.0,-105.7960708802538,0.0
 0.27776617991235525,2.0148020552326895,4.420458516179179,-10.455094034531207,0.8332985397370658,3.0,-2.385878363939335,0.0,-117.55676591691997,0.0
 0.28840993172623397,2.0236533969622905,4.4186244701131745,-11.70633907499314,0.865229795178702,3.0000000000000053,-2.547314257836212,0.0,-130.08449200943537,0.0
 0.29842817234238084,2.0322456730855496,4.416639277246752,-13.009556816372898,0.8952845170271426,3.0,-2.71835760283803,0.0,-143.41594158809983,0.0
 0.30788927483718165,2.040581241891991,4.4145042720280925,-14.366429739126277,0.923667824511545,3.0,-2.8990251587153852,0.0,-157.57816739341177,0.0
 0.3168504919354471,2.048662461671138,4.412220788905382,-15.778521907085457,0.9505514758063414,2.9999999999999876,-3.0891812877678433,0.0,-170.278382014125,0.0
 0.3254758794819347,2.056491690712514,4.409790162326803,-17.247238942746144,0.9503142379630455,-0.027504601041664155,-3.288504977539438,0.0,-178.76962761047534,0.0
 0.3340150478115599,2.064071287305645,4.407213726740539,-18.773782885136406,0.92469673297417,-2.999999999999987,-3.496454917655131,0.0,-184.8310748484703,0.0
 0.3425921729400611,2.0714036097400523,4.404492816594773,-20.359102141747112,0.8989653575886664,-2.9999999999999933,-3.7122339859385978,0.0,-190.64746338718712,0.0
 0.3512192738856644,2.0784910163052617,4.401628766337691,-22.003837053411576,0.8731759708903905,-2.989345651672162,-3.9347550659402972,0.0,-196.3155679360653,0.0
 0.359901340919076,2.085335865290796,4.398622910417474,-23.708261973934768,0.8489414295269551,-2.7913331318650756,-4.162610718412016,0.0,-201.96262793081482,0.0
 0.368635448110597,2.09194051498618,4.3954765832823055,-25.472225214963782,0.826281708540953,-2.594394651808252,-4.3940498234660526,0.0,-207.55004349266892,0.0
 0.37741821424935157,2.0983073236809373,4.392191119380371,-27.29508870904823,0.8052162480725968,-2.3984995314179343,-4.626964796659376,0.0,-213.034945534587,0.0
 0.3862457850243828,2.1044386496645915,4.388767853159852,-29.175669768309717,0.7857636755426562,-2.2036155841380736,-4.858893255094905,0.0,-218.37054851850107,0.0
 0.3951138217805895,2.1103368512266667,4.385208119068933,-31.112187819044806,0.7679415020654091,-2.0097090220982,-5.087037942394677,0.0,-223.50672599969224,0.0
 0.40401749834199774,2.116004286656686,4.3815132515557975,-33.10221941664536,0.7517657981698079,-1.8167443284847722,-5.3083081727672,0.0,-228.39082741146245,0.0
 0.4129515073069198,2.1214433142441744,4.3776845850686295,-35.14266511624533,0.7372508554822559,-1.6246841417489715,-5.519384941857452,0.0,-232.96874065488697,0.0
 0.42191007701758765,2.1266562922786556,4.373723454055612,-37.229731819808634,0.7244088432743345,-1.4334891196559136,-5.716810124635881,0.0,-237.1861864005619,0.0
 0.4308870000795008,2.131645579049653,4.3696311929649285,-39.35893396647508,0.7132494703726184,-1.2431178060400798,-5.897097917770147,0.0,-240.99020816263396,0.0
 0.43987567385569415,2.1364135328466913,4.365409136244763,-41.52511633090592,0.7037796644491007,-1.053526488924174,-6.056864067677798,0.0,-244.33079883342245,0.0
 0.44886915280412165,2.1409625119592937,4.361058618343299,-43.722500226666774,0.6960032815018039,-0.8646690554222576,-6.192965780220738,0.0,-247.16258246251164,0.0
 0.4578602118961031,2.1452948746769844,4.356580973708719,-45.944753610913956,0.6899208584147034,-0.6764968425716413,-6.302642945005077,0.0,-249.44645287378572,0.0
 0.4668414196982833,2.149412979289287,4.3519775367892075,-48.185084039690175,0.6855294206307956,-0.48895848761475014,-6.383649868427819,0.0,-251.15106159756556,0.0
