# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,5.5,2.71,-175.3015881459397,0,3.0,-0.22329280286596687,0.0,0.0,0.0
 0.05821580404516622,5.4949334629418995,2.709583596214364,-175.3015881459397,0.17464741213549867,3.0,-0.22329280286596687,0.0,-2.6952613604633013,0.0
 0.08237044464396998,5.489856393297903,2.7091721340997594,-175.3666912154215,0.24711133393190993,2.9999999999999996,-0.2211996632478454,0.0,-3.48127908105578,0.0
 0.10093279945475042,5.484768800574813,2.708765594336886,-175.4313119529194,0.30279839836425126,3.0,-0.21912508122498325,0.0,-4.092717083002749,0.0
 0.1166048815859824,5.479670694279433,2.7083639576064407,-175.49545335118412,0.3498146447579472,3.0000000000000018,-0.21706887497412158,0.0,-4.604120360404843,0.0
 0.13043271942555104,5.474562083918559,2.7079672045891208,-175.55911838092166,0.3912981582766532,3.000000000000004,-0.21503086349115627,0.0,-5.047342672524659,0.0
 0.14295249746598554,5.469442978998998,2.7075753159656246,-175.6223099908757,0.42885749239795673,3.000000000000002,-0.21301086826125554,0.0,-5.439785925821195,0.0
 0.1544825683075306,5.464313389027551,2.7071882724166505,-175.68503110796325,0.4634477049225919,3.0,-0.21100871159264628,0.0,-5.792275710190549,0.0
 0.1652302489326813,5.459173323511016,2.706806054622896,-175.74728463738919,0.495690746798044,3.0,-0.2090242178164335,0.0,-6.1121266227751825,0.0
 0.1753394677394586,5.4540227919561985,2.7064286432650584,-175.80907346279355,0.526018403218376,3.0000000000000084,-0.2070572132980844,0.0,-6.404575053744679,0.0
 0.18491496386116568,5.448861803869899,2.706056019023836,-175.87040044638186,0.5547448915834973,3.000000000000003,-0.20510752523232173,0.0,-6.67353405240314,0.0
 0.19403576584967805,5.443690368758917,2.7056881625799263,-175.93126842903743,0.5821072975490343,2.999999999999997,-0.20317498334473372,0.0,-6.922026561603721,0.0
 0.20276323906950638,5.438508496130057,2.7053250546140277,-175.9916802304808,0.6082897172085193,2.999999999999997,-0.20125941819630908,0.0,-7.152450655459205,0.0
 0.21114615868184103,5.433316195490119,2.704966675806838,-176.05163864935668,0.6334384760455233,3.000000000000003,-0.19936066215890327,0.0,-7.366750408824761,0.0
 0.21922405066179612,5.428113476345905,2.704613006839054,-176.11114646340246,0.6576721519853885,2.9999999999999964,-0.19747854967126033,0.0,-7.566530569155065,0.0
 0.22702947292702585,5.422900348204216,2.7042640283913744,-176.1702064295775,0.6810884187810777,3.0,-0.19561291626073296,0.0,-7.753136178761088,0.0
 0.2345896206200765,5.417676820571856,2.7039197211444974,-176.22882128417328,0.7037688618602296,2.9999999999999925,-0.19376359928548248,0.0,-7.927709467290383,0.0
 0.2419274852345508,5.412442902955622,2.70358006577912,-176.2869937429471,0.7257824557036525,3.000000000000004,-0.1919304374448508,0.0,-8.091231505178555,0.0
 0.24906271036024474,5.40719860486232,2.7032450429759405,-176.34472650128066,0.7471881310807343,2.999999999999996,-0.19011327128126995,0.0,-8.244553339189327,0.0
 0.2560122357801173,5.401943935798751,2.7029146334156566,-176.40202223428687,0.7680367073403519,2.999999999999992,-0.18831194243512847,0.0,-8.38841971431804,0.0
 0.2627907905724461,5.396678905271714,2.702588817778966,-176.45888359694143,0.7883723717173383,3.0,-0.1865262946522511,0.0,-8.523487438479608,0.0
 0.26941127634298434,5.391403522788012,2.702267576746567,-176.51531322424324,0.8082338290289531,3.0000000000000084,-0.1847561730382454,0.0,-8.650339788981777,0.0
 0.2758850690972417,5.386117797854448,2.7019508909991568,-176.571313731291,0.8276552072917251,2.9999999999999916,-0.1830014243146703,0.0,-8.769498001200501,0.0
 0.2822222599127135,5.38082173997782,2.701638741217433,-176.6268877134805,0.8466667797381406,3.0000000000000173,-0.18126189554765693,0.0,-8.88143048495513,0.0
 0.2884318489212635,5.375515358664935,2.701331108082095,-176.68203774660012,0.8652955467637907,3.000000000000009,-0.17953743720940088,0.0,-8.986560335439005,0.0
 0.29452190321387317,5.37019866342259,2.701027972273839,-176.73676638694673,0.8835657096416198,3.000000000000018,-0.1778279001285916,0.0,-9.08527150848735,0.0
 0.3004996865422857,5.364871663757588,2.7007293144733637,-176.79107617150427,0.9014990596268574,2.9999999999999907,-0.17613313650762916,0.0,-9.17791391305101,0.0
 0.30637176673841005,5.359534369176731,2.700435115361367,-176.84496961803484,0.9191153002152304,2.9999999999999907,-0.1744530001847679,0.0,-9.264807683156617,0.0
 0.31214410535728854,5.354186789186822,2.7001453556185457,-176.8984492252208,0.9364323160718658,3.0,-0.17278734690278602,0.0,-9.346246766019975,0.0
 0.31782213301089873,5.348828933294658,2.6998600159255983,-176.95151747281574,0.9534663990326965,3.0000000000000098,-0.17113603353762893,0.0,-9.42250195203917,0.0
 0.32341081308814823,5.343460811007045,2.6995790769632233,-177.0041768217529,0.9702324392644449,2.9999999999999902,-0.16949891783380322,0.0,-9.493823464607154,0.0
 0.3289146959764033,5.338082431830784,2.6993025194121176,-177.05642971426388,0.9867440879292102,3.0,-0.16787585998060334,0.0,-9.56044318892076,0.0
 0.33433796545907474,5.332693805272673,2.699030323952979,-177.10827857405118,1.0030138963772244,2.99999999999999,-0.16626672078333268,0.0,-9.622576571948949,0.0
 0.3396844786258391,5.327294940839519,2.6987624712665066,-177.15972580639132,1.0190534358775176,3.000000000000021,-0.16467136244934236,0.0,-9.680424279367406,0.0
